codigo,placa,linha,data,hora,latitude,longitude,velocidade,sentido,trajeto,direcao,ignicao,hodometro,id_migracao_trajeto,datahora
901008,,22,2025-02-17,07:10:02,-23.000905,-43.366838,18.3,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],100,True,149804.6,,2025-02-17 07:10:02-03:00
901011,RIV8A74,22,2025-02-17,07:10:50,-23.000205,-43.346297,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],89,True,160262.7,,2025-02-17 07:10:50-03:00
901018,,35,2025-02-17,05:31:42,-22.96499,-43.391412,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],115,False,131266.2,,2025-02-17 05:31:42-03:00
901012,,52,2025-02-17,07:10:56,-22.853742,-43.384385,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],293,True,134044.9,,2025-02-17 07:10:56-03:00
901014,,22,2025-02-17,07:10:49,-23.003133,-43.32468,41.4,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],114,True,159387.3,,2025-02-17 07:10:49-03:00
901007,,22,2025-02-17,07:11:03,-23.000068,-43.354762,29.2,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],91,True,152633.1,,2025-02-17 07:11:03-03:00
901009,,35,2025-02-17,07:11:03,-22.992466,-43.365975,52.9,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],181,True,116153.7,,2025-02-17 07:11:03-03:00
901013,,22,2025-02-17,07:11:00,-23.000004,-43.360916,16.5,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],98,True,152704.0,,2025-02-17 07:11:00-03:00
901010,RJM8G30,50,2025-02-17,07:10:43,-23.001413,-43.367944,22.7,ida,50 - TERMINAL CENTRO OLIMPICO X  JARDIM OCEÂNICO (PARADOR) [IDA],107,True,166738.6,,2025-02-17 07:10:43-03:00
901015,,35,2025-02-17,07:11:03,-22.888829,-43.34615,22.8,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],28,True,164216.0,,2025-02-17 07:11:03-03:00
901047,,35,2025-02-17,07:10:58,-23.000747,-43.365991,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],42,True,37095.6,,2025-02-17 07:10:58-03:00
901017,,22,2025-02-17,07:10:49,-23.0001,-43.346897,0.0,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],271,True,135095.7,,2025-02-17 07:10:49-03:00
901063,,51,2025-02-17,07:10:30,-22.935631,-43.395492,58.6,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],349,True,225078.3,,2025-02-17 07:10:30-03:00
902319,,51,2025-02-17,07:10:56,-22.972379,-43.402089,60.1,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],44,True,14806.9,,2025-02-17 07:10:56-03:00
901006,RJA9F56,22,2025-02-17,07:10:47,-23.000245,-43.36693,19.6,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],189,True,155023.1,,2025-02-17 07:10:47-03:00
901005,RJB8E53,35,2025-02-17,07:11:08,-22.877562,-43.340504,7.9,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],226,True,195389.3,,2025-02-17 07:11:08-03:00
901004,RJQ8J80,53,2025-02-17,07:10:51,-22.883755,-43.399597,0.0,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],147,True,174335.8,,2025-02-17 07:10:51-03:00
902095,,40,2025-02-17,06:34:30,-22.876865,-43.330182,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],,False,93648.4,,2025-02-17 06:34:30-03:00
902375,,61,2025-02-17,07:11:08,-22.831795,-43.352707,36.7,ida,61 - TERMINAL DEODORO X TIG (EXPRESSO) [IDA],67,True,1782.1,,2025-02-17 07:11:08-03:00
13409,KPY9733,10,2023-04-26,21:10:13,-22.915786,-43.628365,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),,True,22420.5,,2023-04-26 21:10:13-03:00
KXM6403 SAVEIRO,KXM6403,0,2025-02-17,06:14:59,-23.000818,-43.363584,0.0,,,,False,19507.0,,2025-02-17 06:14:59-03:00
902090,,0,2025-02-17,07:11:01,-22.974099,-43.363699,37.9,,,193,True,91983.1,,2025-02-17 07:11:01-03:00
KRA7040 - GOL,KRA7040,0,2025-02-17,06:37:26,-22.957136,-43.390698,0.0,,,,False,48513.2,,2025-02-17 06:37:26-03:00
902334,,60,2025-02-17,07:10:49,-22.852808,-43.247668,0.0,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],182,True,59279.5,,2025-02-17 07:10:49-03:00
LSG7008 ACELLO INFRA,LSG7008,0,2025-01-18,17:03:03,-22.964554,-43.391436,0.0,,,,False,49467.5,,2025-01-18 17:03:03-03:00
KXE9191 PKP,KXE9191,0,2025-02-17,06:32:44,-22.971394,-43.400572,0.0,,,,False,11013.8,,2025-02-17 06:32:44-03:00
901057,,52,2025-02-17,07:11:07,-22.953157,-43.390635,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],207,True,208010.9,,2025-02-17 07:11:07-03:00
901003,RKM8C54,22,2025-02-17,07:11:08,-23.000369,-43.339535,46.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],91,True,163333.3,,2025-02-17 07:11:08-03:00
902455,,31,2025-02-17,07:10:47,-22.852563,-43.312774,0.0,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],230,True,61046.0,,2025-02-17 07:10:47-03:00
KWB9798 - APOIO VAN,KWB9798,0,2025-02-17,07:06:04,-23.000824,-43.36483,0.0,,,,False,3977.3,,2025-02-17 07:06:04-03:00
901002,,53,2025-02-17,07:09:37,-23.001383,-43.367543,0.0,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],108,True,139118.5,,2025-02-17 07:09:37-03:00
902313,,71,2025-02-17,07:11:00,-22.898044,-43.211665,0.0,volta,71 - TIG X VIGÁRIO GERAL / PRAÇA DOIS (EXPRESSO) [VOLTA],312,True,76415.0,,2025-02-17 07:11:00-03:00
902103,,41,2025-02-17,07:10:49,-22.878393,-43.33629,10.2,ida,41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA],358,True,100075.2,,2025-02-17 07:10:49-03:00
901001,RJD7J89,22,2025-02-17,07:11:00,-23.006769,-43.312326,0.0,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],96,True,148024.2,,2025-02-17 07:11:00-03:00
901050,,22,2025-02-17,07:10:55,-23.001368,-43.328871,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],114,True,167404.5,,2025-02-17 07:10:55-03:00
901077,,52,2025-02-17,07:10:53,-22.935182,-43.395586,58.6,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],350,True,144667.6,,2025-02-17 07:10:53-03:00
903045,,17,2025-02-17,07:11:01,-22.916902,-43.632604,3.0,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],145,True,73558.1,,2025-02-17 07:11:01-03:00
902119,,40,2025-02-17,07:11:07,-22.973309,-43.371048,60.0,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],271,True,98495.1,,2025-02-17 07:11:07-03:00
901058,,51,2025-02-17,07:11:01,-23.005568,-43.435845,60.3,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],44,True,213145.6,,2025-02-17 07:11:01-03:00
902105,,40,2025-02-17,07:10:56,-22.958765,-43.383645,34.3,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],77,True,95296.8,,2025-02-17 07:10:56-03:00
901071,,52,2025-02-17,07:06:21,-22.966711,-43.39707,18.4,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],218,True,204299.4,,2025-02-17 07:06:21-03:00
903027,,38,2025-01-30,01:54:46,-22.876951,-43.330188,0.0,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],,False,177751.5,,2025-01-30 01:54:46-03:00
901066,,51,2025-02-17,07:10:50,-22.944998,-43.394188,58.8,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],351,True,194003.9,,2025-02-17 07:10:50-03:00
903026,,42,2025-02-17,07:11:06,-22.837626,-43.289961,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],262,True,213289.9,,2025-02-17 07:11:06-03:00
903029,,42,2025-02-17,07:11:08,-22.838269,-43.241694,45.7,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],359,True,145807.0,,2025-02-17 07:11:08-03:00
902116,,41,2025-02-17,07:11:01,-23.008553,-43.440506,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],,True,102593.6,,2025-02-17 07:11:01-03:00
902115,,0,2024-08-31,04:33:01,-22.876017,-43.329414,0.0,,,,False,54751.3,,2024-08-31 04:33:01-03:00
903028,,42,2025-02-17,07:11:05,-22.851577,-43.248549,39.7,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],169,True,211864.3,,2025-02-17 07:11:05-03:00
901061,,51,2025-02-17,07:11:00,-22.867103,-43.411245,58.9,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],242,True,234620.5,,2025-02-17 07:11:00-03:00
903030,,42,2025-02-17,07:10:53,-22.814357,-43.243535,56.7,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],302,True,0.0,,2025-02-17 07:10:53-03:00
903057,,17,2023-06-26,04:59:59,-22.920533,-43.60797,0.0,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],,True,12199.8,,2023-06-26 04:59:59-03:00
901051,,35,2025-02-17,07:11:03,-22.895283,-43.350108,30.5,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],215,True,151088.6,,2025-02-17 07:11:03-03:00
901064,,52,2025-02-17,07:11:08,-22.863043,-43.402446,46.5,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],242,True,222615.2,,2025-02-17 07:11:08-03:00
902107,,41,2025-02-17,07:10:18,-22.878594,-43.34104,0.0,ida,41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA],,True,104082.6,,2025-02-17 07:10:18-03:00
901049,,50,2025-02-17,07:11:04,-22.99998,-43.361117,0.8,ida,50 - TERMINAL CENTRO OLIMPICO X  JARDIM OCEÂNICO (PARADOR) [IDA],76,True,97654.8,,2025-02-17 07:11:04-03:00
901073,,53,2025-02-17,07:09:23,-22.899215,-43.397721,56.6,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],171,True,25534.9,,2025-02-17 07:09:23-03:00
901048,,51,2025-02-17,07:10:58,-22.966783,-43.397087,15.4,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],210,True,170131.2,,2025-02-17 07:10:58-03:00
901065,,53,2025-02-17,07:11:04,-22.95319,-43.390767,38.3,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],212,True,199292.9,,2025-02-17 07:11:04-03:00
903031,,38,2025-02-17,07:10:54,-22.876602,-43.329529,0.0,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],,True,156250.7,,2025-02-17 07:10:54-03:00
902092,,40,2025-02-17,07:11:00,-22.936902,-43.371923,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],194,True,96019.0,,2025-02-17 07:11:00-03:00
903032,,42,2025-02-17,07:11:09,-22.870607,-43.335744,10.4,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],198,True,137027.1,,2025-02-17 07:11:09-03:00
901075,,53,2025-02-17,07:11:04,-22.884473,-43.399235,0.0,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],9,True,226712.0,,2025-02-17 07:11:04-03:00
903055,,17,2025-02-17,07:11:03,-22.907282,-43.561496,39.8,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],57,True,62924.1,,2025-02-17 07:11:03-03:00
902112,,40,2025-02-17,07:10:55,-22.877875,-43.340751,8.4,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],198,True,96201.9,,2025-02-17 07:10:55-03:00
903037,,17,2025-02-17,07:10:59,-22.917104,-43.683536,16.2,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],342,True,79730.7,,2025-02-17 07:10:59-03:00
903002,,42,2025-02-17,07:10:58,-22.87738,-43.336022,0.0,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],19,True,25529.4,,2025-02-17 07:10:58-03:00
901080,,53,2025-02-17,07:10:13,-22.911663,-43.400868,58.4,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],1,True,201838.7,,2025-02-17 07:10:13-03:00
902110,,35,2025-02-17,07:10:58,-22.878269,-43.336463,43.5,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],208,True,95074.3,,2025-02-17 07:10:58-03:00
902114,,40,2025-02-17,06:57:31,-23.000667,-43.368808,35.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],135,True,83435.5,,2025-02-17 06:57:31-03:00
902078,,40,2025-02-17,07:11:04,-22.898161,-43.352668,17.5,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],218,True,97974.7,,2025-02-17 07:11:04-03:00
902111,,40,2025-02-17,07:10:41,-22.878602,-43.341051,9.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],213,True,98651.7,,2025-02-17 07:10:41-03:00
902025,,43,2025-02-17,07:10:58,-22.838503,-43.294629,44.8,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],244,True,90034.8,,2025-02-17 07:10:58-03:00
903054,,17,2025-02-17,06:57:03,-22.903361,-43.556546,0.0,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],5,True,135864.9,,2025-02-17 06:57:03-03:00
903021,,38,2024-12-04,12:04:51,-22.876103,-43.329665,0.0,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],,False,156790.4,,2024-12-04 12:04:51-03:00
903056,,17,2025-02-17,07:10:51,-23.005535,-43.557509,21.8,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],105,True,140191.9,,2025-02-17 07:10:51-03:00
903000,,42,2025-02-17,07:11:03,-22.877002,-43.329643,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],243,True,160668.6,,2025-02-17 07:11:03-03:00
903058,,17,2025-02-17,07:10:57,-22.901133,-43.553197,0.0,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],77,True,70849.6,,2025-02-17 07:10:57-03:00
901072,,53,2025-02-17,07:08:11,-22.97056,-43.400505,0.0,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],211,True,177046.7,,2025-02-17 07:08:11-03:00
902045,,41,2025-02-17,07:10:52,-22.877621,-43.336702,0.0,ida,41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA],,True,113425.6,,2025-02-17 07:10:52-03:00
903008,,42,2025-02-17,07:11:02,-22.83917,-43.283132,0.0,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],119,True,156063.1,,2025-02-17 07:11:02-03:00
903007,,42,2025-02-15,09:52:46,-22.876227,-43.329523,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],63,False,187800.7,,2025-02-15 09:52:46-03:00
903004,,38,2025-02-16,02:01:27,-22.803963,-43.341144,0.0,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],,False,144552.8,,2025-02-16 02:01:27-03:00
903006,,38,2025-02-17,07:11:07,-22.876951,-43.330416,0.0,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],,True,163332.6,,2025-02-17 07:11:07-03:00
901046,,42,2025-02-17,07:11:04,-22.842197,-43.278692,27.1,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],336,True,2891.5,,2025-02-17 07:11:04-03:00
903005,,42,2025-02-17,07:10:56,-22.851888,-43.31185,40.6,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],231,True,149432.3,,2025-02-17 07:10:56-03:00
903022,,42,2025-02-17,06:57:26,-22.814881,-43.242767,58.6,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],306,True,211056.9,,2025-02-17 06:57:26-03:00
903035,,17,2025-02-17,07:11:01,-22.913365,-43.595845,0.0,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],242,True,11568.0,,2025-02-17 07:11:01-03:00
901059,,51,2025-02-17,07:10:53,-22.977083,-43.406512,0.8,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],197,True,221999.8,,2025-02-17 07:10:53-03:00
903003,,42,2025-02-17,07:10:59,-22.83687,-43.241061,59.5,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],211,True,144013.5,,2025-02-17 07:10:59-03:00
901019,,22,2025-02-17,07:06:21,-23.000148,-43.366885,20.8,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],231,True,164025.7,,2025-02-17 07:06:21-03:00
901020,,22,2025-02-17,07:10:49,-23.006561,-43.312828,10.0,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],279,True,133586.0,,2025-02-17 07:10:49-03:00
901021,,50,2025-02-17,06:24:00,-22.964819,-43.391217,0.0,ida,50 - TERMINAL CENTRO OLIMPICO X  JARDIM OCEÂNICO (PARADOR) [IDA],55,False,150939.4,,2025-02-17 06:24:00-03:00
901022,,53,2025-02-17,07:11:05,-22.888449,-43.400905,58.9,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],355,True,188084.6,,2025-02-17 07:11:05-03:00
901023,,51,2025-02-17,07:10:50,-23.008444,-43.440041,0.0,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],51,True,219536.3,,2025-02-17 07:10:50-03:00
901024,,22,2025-02-17,07:04:53,-22.884454,-43.342711,46.7,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],17,True,131200.1,,2025-02-17 07:04:53-03:00
901025,,35,2025-02-17,07:10:55,-22.902672,-43.355634,33.7,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],30,True,171274.6,,2025-02-17 07:10:55-03:00
901026,,35,2025-02-17,05:13:22,-22.965249,-43.391232,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],39,False,214315.2,,2025-02-17 05:13:22-03:00
901027,,22,2025-02-17,07:10:26,-23.000193,-43.366868,22.1,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],206,True,187746.9,,2025-02-17 07:10:26-03:00
901028,,50,2025-02-17,07:11:06,-23.006399,-43.313437,0.0,volta,50 - JARDIM OCEÂNICO X  TERMINAL CENTRO OLIMPICO (PARADOR) [VOLTA],277,True,147954.6,,2025-02-17 07:11:06-03:00
903001,,42,2025-02-17,07:10:59,-22.873363,-43.336015,20.2,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],147,True,164569.1,,2025-02-17 07:10:59-03:00
901029,,52,2025-02-17,07:09:09,-22.925271,-43.397487,59.6,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],153,True,178767.0,,2025-02-17 07:09:09-03:00
901030,,51,2025-02-15,04:00:14,-22.964681,-43.391593,0.0,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],,False,112787.0,,2025-02-15 04:00:14-03:00
901031,,35,2025-02-17,07:10:49,-22.918625,-43.365521,42.5,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],239,True,168707.5,,2025-02-17 07:10:49-03:00
901032,,53,2025-02-17,07:04:56,-23.001396,-43.367559,0.0,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],78,True,174945.8,,2025-02-17 07:04:56-03:00
901033,,51,2025-02-17,07:11:08,-22.941597,-43.372688,34.2,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],178,True,168855.2,,2025-02-17 07:11:08-03:00
901034,,52,2025-02-17,07:10:49,-22.875104,-43.406057,56.9,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],142,True,187511.0,,2025-02-17 07:10:49-03:00
901035,,53,2025-02-17,07:11:06,-22.973344,-43.375782,44.2,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],88,True,174252.8,,2025-02-17 07:11:06-03:00
901036,,35,2025-02-17,07:10:52,-22.953793,-43.375753,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],214,True,162793.9,,2025-02-17 07:10:52-03:00
901037,,35,2025-02-17,07:06:21,-23.001372,-43.365967,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],94,True,157199.7,,2025-02-17 07:06:21-03:00
901038,,35,2025-02-17,07:10:53,-22.885609,-43.343541,21.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],220,True,178322.1,,2025-02-17 07:10:53-03:00
901039,,52,2025-02-17,05:17:27,-22.964914,-43.391578,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],,False,166983.7,,2025-02-17 05:17:27-03:00
901040,,35,2025-02-17,07:11:04,-22.878387,-43.336209,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],11,True,177513.8,,2025-02-17 07:11:04-03:00
901041,,35,2025-02-17,07:10:51,-22.963391,-43.390344,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],1,True,161108.5,,2025-02-17 07:10:51-03:00
901042,,35,2025-02-17,07:11:08,-23.000945,-43.367285,11.8,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],95,True,163531.9,,2025-02-17 07:11:08-03:00
901043,,51,2025-02-17,07:10:54,-22.920584,-43.396835,61.1,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],199,True,142919.1,,2025-02-17 07:10:54-03:00
901054,,22,2025-02-17,07:10:59,-23.003759,-43.322673,26.6,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],288,True,3052.1,,2025-02-17 07:10:59-03:00
903009,,42,2025-02-17,07:11:05,-22.838774,-43.294731,5.6,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],52,True,201912.2,,2025-02-17 07:11:05-03:00
903010,,38,2025-02-17,07:10:58,-22.870742,-43.335667,7.4,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],20,True,52231.6,,2025-02-17 07:10:58-03:00
903011,,42,2025-02-17,07:10:51,-22.829369,-43.235528,59.9,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],211,True,211885.4,,2025-02-17 07:10:51-03:00
903012,,42,2025-02-17,07:11:08,-22.876337,-43.329709,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,True,184479.8,,2025-02-17 07:11:08-03:00
903015,,14,2025-02-17,07:10:13,-22.990572,-43.601053,56.1,ida,14 - SANTA EUGÊNIA X TERMINAL RECREIO (EXPRESSO) [IDA],127,True,150934.9,,2025-02-17 07:10:13-03:00
903016,,38,2025-02-17,07:10:59,-22.8763,-43.329887,0.0,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],,True,204308.8,,2025-02-17 07:10:59-03:00
903017,,42,2025-02-17,07:11:05,-22.842466,-43.272374,1.9,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],94,True,152813.0,,2025-02-17 07:11:05-03:00
903018,,38,2025-02-13,03:00:10,-22.876629,-43.329403,0.0,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],,False,97439.5,,2025-02-13 03:00:10-03:00
903019,,42,2025-02-17,07:10:52,-22.877995,-43.336471,0.0,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],28,True,116872.9,,2025-02-17 07:10:52-03:00
903020,,42,2025-02-17,07:11:09,-22.877779,-43.336348,0.0,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],26,True,75162.4,,2025-02-17 07:11:09-03:00
903023,,42,2025-02-17,07:11:06,-22.850619,-43.263767,10.7,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],147,True,147843.9,,2025-02-17 07:11:06-03:00
903024,,67,2025-02-11,02:25:54,-22.92022,-43.608286,0.0,ida,67 - CAMPO GRANDE X TERMINAL DEODORO [IDA],,False,123194.5,,2025-02-11 02:25:54-03:00
903025,,14,2025-02-17,07:11:02,-23.005274,-43.558525,29.7,ida,14 - SANTA EUGÊNIA X TERMINAL RECREIO (EXPRESSO) [IDA],105,True,78795.9,,2025-02-17 07:11:02-03:00
903013,,42,2025-02-17,07:11:04,-22.857508,-43.257523,11.2,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],85,True,199457.8,,2025-02-17 07:11:04-03:00
903014,,42,2025-02-17,07:10:57,-22.865685,-43.334317,0.0,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],2,True,221855.5,,2025-02-17 07:10:57-03:00
902097,,43,2025-02-17,07:09:13,-22.856273,-43.32778,42.1,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],259,True,92205.6,,2025-02-17 07:09:13-03:00
901045,,22,2025-02-17,07:11:08,-23.002742,-43.325153,36.8,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],293,True,170183.6,,2025-02-17 07:11:08-03:00
901053,,52,2025-02-17,07:10:56,-22.89707,-43.398626,42.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],145,True,125847.2,,2025-02-17 07:10:56-03:00
901060,,51,2025-02-17,06:50:49,-22.965363,-43.391506,0.0,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],,False,221803.1,,2025-02-17 06:50:49-03:00
903052,,17,2025-02-17,07:10:55,-22.916112,-43.624989,49.0,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],284,True,87598.3,,2025-02-17 07:10:55-03:00
903060,,17,2025-02-17,07:10:51,-22.914127,-43.600434,38.1,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],269,True,148165.8,,2025-02-17 07:10:51-03:00
903063,,14,2025-02-17,07:10:57,-23.008202,-43.440255,0.0,volta,14 - TERMINAL RECREIO x SANTA EUGÊNIA (EXPRESSO) [VOLTA],301,True,134805.1,,2025-02-17 07:10:57-03:00
901000,,18,2025-02-17,07:10:58,-22.999905,-43.404572,42.6,volta,18 - JARDIM OCEÂNICO X PONTAL (EXPRESSO) [VOLTA],271,True,153580.2,,2025-02-17 07:10:58-03:00
902113,,41,2025-02-17,07:11:04,-22.87631,-43.32966,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],,True,87053.1,,2025-02-17 07:11:04-03:00
902118,,35,2025-02-17,07:10:56,-22.924285,-43.373723,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],350,True,80704.6,,2025-02-17 07:10:56-03:00
